bikepoint_id,terminal_name,station_name,lat,lon,capacity,installed,locked,temporary,terminal_num
213,001109,"Wellington Arch, Hyde Park",51.50274,-0.149569,36,true,false,false,1109
214,001079,"Endsleigh Gardens, Euston",51.526838,-0.130504,32,true,false,false,1079
215,001092,"Moorfields, Moorgate",51.519069,-0.088285,54,true,false,false,1092
216,003479,"Old Brompton Road, South Kensington",51.490945,-0.18119,30,true,false,false,3479
217,002587,"Wormwood Street, Liverpool Street",51.516154,-0.082422,16,true,false,false,2587
218,003486,"St. Luke's Church, Chelsea",51.489716,-0.170194,20,true,false,false,3486
219,001183,"Bramham Gardens, Earl's Court",51.490163,-0.190393,29,true,false,false,1183
220,001179,"Chelsea Green, Chelsea",51.490664,-0.166485,15,true,false,false,1179
221,001170,"Horseferry Road, Westminster",51.494816,-0.130458,16,true,false,false,1170
222,001101,"Knightsbridge, Hyde Park",51.502757,-0.155349,43,true,false,false,1101
223,003481,"Rodney Road , Walworth",51.491484,-0.09022,24,true,false,false,3481
224,001150,"Queensway, Kensington Gardens",51.51031,-0.187402,17,true,false,false,1150
225,001182,"Notting Hill Gate Station, Notting Hill",51.509353,-0.196422,30,true,false,false,1182
226,003488,"Charles II Street, West End",51.508446,-0.131961,24,true,false,false,3488
227,003470,"Great Percy Street, Clerkenwell",51.528915,-0.11548,23,true,false,false,3470
228,001067,"St. James's Square, St. James's",51.507424,-0.134621,40,true,false,false,1067
229,001151,"Whitehall Place, Strand",51.506543,-0.123179,46,true,false,false,1151
230,001144,"Poured Lines, Bankside",51.506692,-0.103137,31,true,false,false,1144
231,001089,"Queen's Gate (Central), South Kensington",51.493967,-0.178732,31,true,false,false,1089
232,001139,"Carey Street, Holborn",51.51501,-0.112753,16,true,false,false,1139
233,001153,"Pall Mall East, West End",51.50777,-0.130699,22,true,false,false,1153
234,001081,"Liverpool Road (N1 Centre), Angel",51.534504,-0.106992,24,true,false,false,1081
235,001154,"Kennington Road, Vauxhall",51.495718,-0.110889,36,true,false,false,1154
236,003483,"Fashion Street, Whitechapel",51.51838,-0.073438,30,true,false,false,3483
237,003467,"Dock Street, Wapping",51.509786,-0.068161,30,true,false,false,3467
238,001099,"Frampton Street, Paddington",51.523353,-0.175116,32,true,false,false,1099
239,001090,"Warren Street Station, Euston",51.524438,-0.138019,26,true,false,false,1090
240,003472,"Colombo Street, Southwark",51.505459,-0.105692,14,true,false,false,3472
242,003482,"Beaumont Street, Marylebone",51.522008,-0.151359,23,true,false,false,3482
243,001103,"Gloucester Street, Pimlico",51.490962,-0.139625,25,true,false,false,1103
244,001145,"Bucknall Street, Covent Garden",51.51615,-0.128417,18,true,false,false,1145
245,001140,"Grosvenor Road, Pimlico",51.485357,-0.142207,29,true,false,false,1140
246,001159,"Berry Street, Clerkenwell",51.522853,-0.099994,41,true,false,false,1159
247,001091,"St. John's Wood Church, The Regent's Park",51.530529,-0.167515,50,true,false,false,1091
248,001088,"Triangle Car Park, Hyde Park",51.506451,-0.170279,27,true,false,false,1088
249,001137,"Harper Road, The Borough",51.498597,-0.096191,42,true,false,false,1137
250,003440,"Royal Avenue 1, Chelsea",51.489932,-0.162727,10,true,false,false,3440
251,001161,"Brushfield Street, Liverpool Street",51.518908,-0.079249,34,true,false,false,1161
253,001051,"Shoreditch Park, Hoxton",51.534042,-0.086379,30,true,false,false,1051
254,003471,"Chadwell Street, Angel",51.530515,-0.106408,18,true,false,false,3471
255,001147,"Clifton Road, Maida Vale",51.525575,-0.179592,22,true,false,false,1147
256,003484,"Houghton Street, Strand",51.51362,-0.116764,15,true,false,false,3484
257,001194,"Westminster University, Marylebone",51.522481,-0.154907,16,true,false,false,1194
258,001193,"Kensington Gore, Knightsbridge",51.501432,-0.178656,23,true,false,false,1193
259,001180,"Bourne Street, Belgravia",51.490959,-0.153233,16,true,false,false,1180
260,003489,"Broadwick Street, Soho",51.513684,-0.13558,18,true,false,false,3489
261,003491,"Princes Square, Bayswater",51.513489,-0.191351,16,true,false,false,3491
262,001095,"LSBU (Borough Road), Elephant & Castle",51.498744,-0.103132,35,true,false,false,1095
263,001184,"St. Mary Axe, Aldgate",51.514225,-0.08066,21,true,false,false,1184
264,001146,"Tysoe Street, Clerkenwell",51.526443,-0.109256,20,true,false,false,1146
265,003490,"Southwick Street, Paddington",51.515953,-0.169249,17,true,false,false,3490
266,001204,"Queen's Gate (North), Kensington",51.501026,-0.180246,41,true,false,false,1204
268,001087,"Belgrave Road, Victoria",51.493204,-0.144132,29,true,false,false,1087
269,001209,"Empire Square, The Borough",51.500823,-0.08974,46,true,false,false,1209
271,001136,"London Zoo,  The Regent's Park",51.535836,-0.156285,32,true,false,false,1136
272,001133,"Baylis Road, Waterloo",51.501444,-0.110699,22,true,false,false,1133
273,001186,"Belvedere Road 1, South Bank",51.506133,-0.114686,38,true,false,false,1186
274,001134,"Warwick Road, Olympia",51.496712,-0.205284,36,true,false,false,1134
275,001191,"Barbican Centre, Barbican",51.520044,-0.092176,19,true,false,false,1191
276,001098,"Lower Thames Street, Monument",51.509301,-0.084985,24,true,false,false,1098
277,001143,"Kensington Church Street, Kensington",51.503157,-0.191496,17,true,false,false,1143
278,001142,"Tooley Street, Bermondsey",51.503493,-0.07962,27,true,false,false,1142
279,001108,"North Wharf Road, Paddington",51.518623,-0.176603,23,true,false,false,1108
280,003462,"Royal Avenue 2, Chelsea",51.490083,-0.162418,10,true,false,false,3462
281,003480,"Smith Square, Westminster",51.495805,-0.127575,18,true,false,false,3480
282,001077,"Royal London Hospital, Whitechapel",51.518675,-0.06111,42,true,false,false,1077
283,001141,"Kingsway, Covent Garden",51.514409,-0.118478,16,true,false,false,1141
284,001117,"Lambeth North Station, Waterloo",51.49914,-0.112031,20,true,false,false,1117
